Subject,Fine-tuning,Speech Category,Transcript ID,AVG Perplexity,Dev. STD
Trump,interview,interview,5,127.31577033273427,286.0804602610872
Trump,interview,interview,4,144.57661179770625,281.0004285616569
Trump,interview,interview,3,135.28615299268898,213.99109621927138
Trump,interview,interview,2,112.17147780429144,178.89405865147634
Trump,interview,interview,1,140.86246829951676,275.43950342194404
Trump,interview,rally,10,167.49898881024916,367.5668733325218
Trump,interview,rally,9,166.25122269630737,327.16058120649194
Trump,interview,rally,8,169.03526874135414,356.475187713848
Trump,interview,rally,6,189.14901334192774,689.2549139891271
Trump,interview,rally,7,155.30551594413245,256.26429003893526
Trump,rally,rally,10,132.91900961402777,320.4876415761104
Trump,rally,rally,9,127.60269386924298,257.75728148908524
Trump,rally,rally,8,120.46198500141472,210.18129828572194
Trump,rally,rally,6,130.84270272851344,452.79431922357827
Trump,rally,rally,7,112.47053000704669,257.5732099074393
Trump,rally,interview,5,135.50598193698772,205.1826952873148
Trump,rally,interview,4,152.88768136729456,266.5497782528414
Trump,rally,interview,3,153.9681766841995,288.40179259576416
Trump,rally,interview,2,131.60748008279037,248.40690072849947
Trump,rally,interview,1,157.78371918381683,245.91610330956078
