Subject,Fine-tuning,Speech Category,Transcript ID,AVG Perplexity
Trump,interview,interview,5,18.196394
Trump,interview,interview,4,19.368889
Trump,interview,interview,3,19.762611
Trump,interview,interview,2,16.316128
Trump,interview,interview,1,18.562843
Trump,interview,rally,10,18.804705
Trump,interview,rally,9,20.823727
Trump,interview,rally,8,19.841242
Trump,interview,rally,6,20.203697
Trump,interview,rally,7,21.425625
Trump,rally,rally,10,17.203209
Trump,rally,rally,9,18.892235
Trump,rally,rally,8,18.236158
Trump,rally,rally,6,18.34739
Trump,rally,rally,7,18.748705
Trump,rally,interview,5,17.3156
Trump,rally,interview,4,19.113478
Trump,rally,interview,3,17.634674
Trump,rally,interview,2,15.858063
Trump,rally,interview,1,18.269672
